ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO MERCANTIL;Yaracuy;POS;Inalambrico;Activo;103
BANCO PROVINCIAL;Zulia;POS;Inalambrico;Inactivo;11
BANCO PROVINCIAL;Lara;POS;Inalambrico;Inactivo;42
BANCO MERCANTIL;Bolivar;POS;DialUp;Inactivo;13
BANCO MERCANTIL;Monagas;POS;LAN;Inactivo;3
BANCO PROVINCIAL;Anzoategui;POS;LAN;Inactivo;4
BANCO PROVINCIAL;Yaracuy;POS;Inalambrico;Inactivo;5
BANCO MERCANTIL;Miranda;POS;Inalambrico;Inactivo;12
BANCO MERCANTIL;Merida;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Tachira;POS;Inalambrico;Inactivo;6
BANCO PROVINCIAL;Guarico;POS;Inalambrico;Inactivo;4
BANCO MERCANTIL;Bolivar;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Cojedes;POS;DialUp;Inactivo;4
BANCO PROVINCIAL;Miranda;POS;TCP-IP;Activo;1
BANCO PROVINCIAL;Monagas;POS;TCP-IP;Inactivo;1
BANCO MERCANTIL;Barinas;POS;DialUp;Activo;127
BANCO PROVINCIAL;Nueva Esparta;POS;DialUp;Activo;186
BANCO MERCANTIL;Monagas;POS;DialUp;Inactivo;8
BANCO MERCANTIL;Cojedes;POS;DialUp;Inactivo;10
BANCO MERCANTIL;Trujillo;POS;DialUp;Activo;109
BANCO PROVINCIAL;Distrito Capital;CAJA REGIST.;LAN;Activo;1379
BANCO PROVINCIAL;Apure;POS;LAN;Activo;73
BANCO MERCANTIL;Falcon;POS;LAN;Activo;111
BANCO PROVINCIAL;Anzoategui;POS;LAN;Activo;297
BANCO PROVINCIAL;Bolivar;POS;LAN;Activo;323
BANCO PROVINCIAL;Guarico;POS;LAN;Activo;198
BANCO PROVINCIAL;Carabobo;POS;LAN;Inactivo;21
BANCO MERCANTIL;Merida;POS;LAN;Activo;134
BANCO PROVINCIAL;Aragua;POS;LAN;Activo;471
BANCO PROVINCIAL;Aragua;CAJA REGIST.;LAN;Inactivo;2
BANCO MERCANTIL;Yaracuy;CAJA REGIST.;LAN;Activo;90
BANCO MERCANTIL;Merida;CAJA REGIST.;LAN;Activo;95
BANCO PROVINCIAL;Falcon;POS;LAN;Inactivo;2
BANCO PROVINCIAL;Carabobo;POS;Inalambrico;Activo;1675
BANCO PROVINCIAL;Tachira;POS;Inalambrico;Activo;737
BANCO PROVINCIAL;Vargas;POS;Inalambrico;Activo;112
BANCO PROVINCIAL;Falcon;POS;Inalambrico;Inactivo;3
BANCO PROVINCIAL;Aragua;POS;Inalambrico;Inactivo;2
BANCO PROVINCIAL;Merida;POS;Inalambrico;Inactivo;18
BANCO MERCANTIL;Merida;POS;LAN;Inactivo;4
BANCO MERCANTIL;Distrito Capital;POS;DialUp;Inactivo;8
BANCO PROVINCIAL;Trujillo;POS;DialUp;Inactivo;5
BANCO PROVINCIAL;Anzoategui;POS;Inalambrico;Inactivo;2
BANCO MERCANTIL;Nueva Esparta;POS;DialUp;Inactivo;3
BANCO MERCANTIL;Guarico;POS;Inalambrico;Inactivo;2
BANCO PROVINCIAL;Sucre;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Apure;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Yaracuy;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Dependencias Federales;POS;Inalambrico;Activo;1
BANCO MERCANTIL;Bolivar;POS;LAN;Inactivo;1
